Cycle,Acc/Rej,Potential,BasicP,BendingP,DihedralP,Rg,Re,randomProb,boltzman
9000,false,-476.886335,-167.459427,-166.412977,-143.013931,5.775671,13.707687,0.751590,0.000000
9100,false,-476.545488,-167.702726,-167.261905,-141.580857,5.738928,11.960670,0.504752,0.000000
9200,false,-474.814950,-165.830470,-166.520652,-142.463828,5.789864,11.803575,0.310532,0.000000
9300,false,-474.685777,-166.916012,-166.728793,-141.040973,5.786532,12.201910,0.307416,0.000000
9400,false,-471.256180,-163.181012,-167.016399,-141.058769,5.830300,11.573903,0.844959,0.000000
9500,true,-470.183444,-163.463204,-165.486517,-141.233723,5.855927,11.658571,0.677597,1.000000
9600,false,-461.436102,-155.810175,-164.486885,-141.139041,5.956436,10.906893,0.841136,0.000003
9700,false,-458.323897,-152.884533,-163.521264,-141.918100,6.025670,11.627787,0.661140,0.000000
9800,true,-465.901364,-160.454131,-165.615585,-139.831648,5.800675,12.004504,0.592435,1.000000
9900,false,-471.243235,-164.882996,-165.798514,-140.561724,5.825967,11.157350,0.838946,0.000001
10000,false,-472.869698,-167.499908,-164.873359,-140.496430,5.825559,10.671603,0.953090,0.000000
10100,false,-472.521822,-167.164579,-164.360158,-140.997085,5.846223,10.564530,0.863935,0.000000
10200,true,-473.808451,-168.534936,-164.102317,-141.171198,5.789114,10.978099,0.033357,2.027682
10300,true,-466.747055,-160.442255,-164.156488,-142.148312,5.854946,13.248045,0.689404,1.852507
10400,false,-472.640553,-164.463269,-165.960031,-142.217253,5.746716,11.596224,0.336081,0.000000
10500,false,-472.422487,-166.072653,-166.115246,-140.234588,5.734375,11.399965,0.988799,0.000000
10600,false,-472.633794,-170.124626,-162.993846,-139.515323,5.721278,11.372397,0.834667,0.000000
10700,false,-471.474895,-169.563699,-162.097435,-139.813761,5.782683,13.002798,0.266890,0.000000
10800,true,-463.955537,-162.607758,-161.314747,-140.033032,5.804081,13.911689,0.492456,15.376131
10900,false,-463.656859,-157.865195,-165.405493,-140.386171,5.922424,12.962620,0.162352,0.000000
11000,false,-472.346365,-168.603423,-162.594237,-141.148705,5.867149,13.527210,0.723517,0.003859
11100,false,-481.629316,-176.312902,-164.313250,-141.003164,5.689891,11.627251,0.441755,0.013004
11200,true,-474.601090,-170.256385,-163.502967,-140.841738,5.714455,12.396233,0.294831,1.000000
11300,false,-472.892127,-170.765854,-161.912666,-140.213607,5.762837,12.417219,0.184956,0.000000
11400,false,-480.267529,-175.018492,-163.807389,-141.441648,5.775873,11.222019,0.169894,0.000000
11500,true,-477.726384,-171.000627,-164.467222,-142.258535,5.809431,11.323790,0.661901,1.000000
