phi,U
2.270208185333729,-7.518607216815252
2.305812253045677,-7.457609289715606
2.3414163207576246,-7.436617265234227
2.377020388469572,-7.419979923661835
2.4126244561815198,-7.434257382133135
2.4482285238934676,-7.4489161025442
2.483832591605415,-7.529943370601589
2.5194366593173627,-7.56734567601324
2.5550407270293105,-7.505492274737424
2.590644794741258,-7.5310163320779155
2.6262488624532057,-7.57455848420248
2.6618529301651535,-7.629489916393995
2.697456997877101,-7.633369649679584
2.7330610655890486,-7.70210434005105
2.7686651333009964,-7.752335163302292
2.8042692010129437,-7.811163385025279
2.8398732687248915,-7.869783902530146
2.8754773364368393,-7.963807953231451
2.9110814041487867,-8.000684784514748
2.9466854718607345,-8.085486772102845
2.9822895395726823,-8.145549631783584
3.0178936072846296,-8.259716961021523
3.0534976749965774,-8.36240897761537
