r [Å],U
8.422,-0.8373634538892193
8.443999999999999,-0.8249446734902487
8.466000000000001,-0.8127323335853587
8.488,-0.8007227783847435
8.510000000000002,-0.7889124153294167
8.532,-0.777297714281686
8.554,-0.7658752067055155
8.576,-0.7546414848385562
8.598,-0.7435932008573864
8.620000000000001,-0.7327270660374813
8.642,-0.7220398499092848
8.664000000000001,-0.7115283794116379
8.686,-0.7011895380437934
8.708,-0.6910202650170527
8.73,-0.6810175544070983
8.752,-0.6711784543079123
8.774000000000001,-0.661500065988168
8.796,-0.6519795430508772
8.818000000000001,-0.6426140905970339
8.84,-0.633400964393917
8.862,-0.6243374700486634
8.884,-0.6154209621876892
8.906,-0.6066488436424475
8.928,-0.5980185646420135
8.95,-0.5895276220128991
8.972000000000001,-0.5811735583864888
8.994,-0.5729539614144503
9.016,-0.5648664629923995
9.038,-0.5569087384921363
9.06,-0.5490785060026626
9.082,-0.5413735255802136
9.104,-0.5337915985074912
9.126000000000001,-0.5263305665622591
9.148,-0.5189883112954535
9.17,-0.5117627533188982
9.192,-0.5046518516027647
9.214,-0.4976536027828204
9.236,-0.49076604047755035
9.258,-0.4839872346151855
9.280000000000001,-0.47731529077067353
9.302,-0.4707483495126172
9.324000000000002,-0.4642845857601596
9.346,-0.45792220814984386
9.368,-0.4516594584123923
9.39,-0.44549461075940233
9.411999999999999,-0.4394259712799064
9.434000000000001,-0.4334518773467527
9.456,-0.4275706970327536
9.478000000000002,-0.4217808285365299
9.5,-0.4160806996179975
9.522,-0.4104687670434031
9.544,-0.40494351603984147
9.566,-0.3995034597591638
9.588000000000001,-0.3941471387511817
9.61,-0.38887312044608213
9.632000000000001,-0.3836799986459457
9.654,-0.37856639302527717
9.676,-0.373530948640424
9.698,-0.36857233544780593
9.72,-0.3636892478308177
9.742,-0.3588804041353097
9.764,-0.3541445462135295
9.786000000000001,-0.34948043897640735
9.808,-0.34488686995408036
9.83,-0.34036264886451834
9.852,-0.3359066071901592
9.874,-0.33151759776241824
9.896,-0.3271944943539607
9.918,-0.3229361912786154
9.940000000000001,-0.31874160299881416
9.962,-0.31460966374044275
9.984,-0.3105393271149715
10.006,-0.30652956574876605
10.028,-0.3025793709194451
10.05,-0.2986877521991803
10.072,-0.29485373710481466
10.094000000000001,-0.2910763707546875
10.116,-0.2873547155320543
10.138,-0.2836878507549786
10.16,-0.28007487235259815
10.182,-0.27651489254763734
10.204,-0.27300703954507083
10.225999999999999,-0.2695504572268167
10.248000000000001,-0.26614430485235846
10.27,-0.262787756765191
10.292000000000002,-0.25948000210497224
10.314,-0.25622024452529535
10.336,-0.2530077019169586
10.358,-0.24984160613664932
10.379999999999999,-0.24672120274092715
10.402000000000001,-0.24364575072541558
10.424,-0.2406145222691058
10.446000000000002,-0.2376268024836654
10.468,-0.2346818891676759
10.49,-0.23177909256568363
10.512,-0.22891773513199348
10.534,-0.22609715129909835
10.556000000000001,-0.22331668725066536
10.578,-0.22057570069898652
10.600000000000001,-0.21787356066680796
10.622,-0.215209647273458
10.644,-0.21258335152518
10.666,-0.2099940751096006
10.688,-0.20744123019424274
10.71,-0.2049242392290101
10.732,-0.20244253475256185
10.754000000000001,-0.19999555920250262
10.776,-0.1975827647293142
10.798,-0.1952036130139498
10.82,-0.192857575089025
10.842,-0.1905441311635298
10.864,-0.18826277045099254
10.886,-0.18601299100102858
10.908000000000001,-0.1837942995342045
10.93,-0.1816062112801546
10.952,-0.17944824981887958
10.974,-0.17731994692517017
10.996,-0.17522084241608815
11.018,-0.17315048400144623
11.04,-0.17110842713722565
11.062000000000001,-0.16909423488187206
11.084,-0.16710747775541474
11.106,-0.1651477336013465
11.128,-0.16321458745121642
11.15,-0.16130763139187373
11.172,-0.1594264644353146
11.194,-0.15757069239107527
11.216000000000001,-0.1557399277411243
11.238,-0.1539337895171994
11.26,-0.1521519031805427
11.282,-0.15039390050398457
11.304,-0.14865941945632838
11.326,-0.14694810408899045
11.348,-0.1452596044248488
11.370000000000001,-0.14359357634925737
11.392,-0.14194968150317985
11.414,-0.14032758717840227
11.436,-0.13872696621478164
11.458,-0.13714749689948874
11.48,-0.13558886286820582
11.502,-0.13405075300823865
11.524000000000001,-0.13253286136350528
11.546,-0.1310348870413632
11.568,-0.12955653412123613
11.59,-0.12809751156500795
11.612,-0.12665753312914338
11.634,-0.12523631727850396
11.656,-0.12383358710182348
11.678,-0.12244907022881019
11.7,-0.1210824987488418
11.722,-0.11973360913122236
11.744,-0.11840214214696944
11.766,-0.11708784279209948
11.788,-0.11579046021238222
11.81,-0.11450974762953503
11.832,-0.11324546226882634
11.854,-0.1119973652880622
11.876000000000001,-0.11076522170792569
11.898,-0.10954880034364455
11.92,-0.1083478737379573
11.942,-0.10716221809535525
11.964,-0.10599161321757167
11.986,-0.10483584244029515
12.008,-0.10369469257108144
12.030000000000001,-0.10256795382844042
12.052,-0.10145541978207523
12.074,-0.10035688729424766
12.096,-0.09927215646225224
12.118,-0.09820103056197121
12.14,-0.09714331599249391
12.162,-0.09609882222177533
12.184000000000001,-0.09506736173331608
