Cycle,Acc/Rej,Potential,BasicP,BendingP,DihedralP,Rg,Re,randomProb,boltzman
12100,false,-601.025484,-292.660733,-165.811232,-142.553519,5.657059,10.571278,0.272383,0.000000
12200,false,-598.674156,-290.492561,-165.871306,-142.310290,5.601676,9.370107,0.324592,0.000121
12300,false,-609.788162,-302.792087,-165.090013,-141.906062,5.646120,9.839586,0.398049,0.000000
12400,false,-616.973627,-310.988507,-164.703630,-141.281490,5.571392,8.617827,0.340006,0.000000
12500,false,-616.556340,-310.276152,-165.031242,-141.248946,5.594790,8.635339,0.752229,0.000000
12600,false,-614.485876,-308.232956,-165.841163,-140.411757,5.592667,8.694922,0.706050,0.000000
12700,false,-614.309739,-307.436567,-166.113188,-140.759984,5.553594,9.385906,0.718221,0.169924
12800,false,-614.152496,-307.770757,-165.628678,-140.753062,5.575676,9.048723,0.436797,0.027471
12900,false,-613.757928,-306.149719,-166.245883,-141.362325,5.616656,9.202558,0.736247,0.000000
13000,false,-616.835430,-309.688410,-166.041135,-141.105885,5.553604,8.940146,0.171041,0.000000
13100,false,-616.460479,-308.878663,-166.329879,-141.251937,5.574173,9.188191,0.986897,0.000000
13200,true,-616.786498,-308.968071,-166.996363,-140.822064,5.545038,8.842049,0.138941,1.136639
13300,false,-616.855591,-309.317775,-166.457109,-141.080708,5.542701,8.662437,0.015973,0.000002
13400,false,-612.387556,-304.346724,-167.215139,-140.825694,5.580571,9.371209,0.820070,0.000000
13500,false,-611.789333,-303.354726,-167.423542,-141.011065,5.609754,8.614420,0.800745,0.000000
13600,false,-613.567672,-304.446376,-167.849436,-141.271860,5.533480,8.069987,0.792872,0.000000
13700,false,-611.088379,-302.812318,-167.506251,-140.769810,5.624841,8.633784,0.757609,0.000000
13800,false,-606.538029,-298.506715,-167.286333,-140.744981,5.509809,9.410659,0.275525,0.000000
13900,true,-609.972890,-301.955629,-167.038170,-140.979090,5.512579,9.177993,0.191157,0.640798
14000,false,-611.147635,-303.407931,-167.089929,-140.649775,5.596095,9.025824,0.858212,0.000000
14100,false,-614.467711,-306.810628,-167.335609,-140.321475,5.612932,8.547497,0.684644,0.000000
14200,true,-614.734533,-307.098036,-167.243288,-140.393209,5.604062,8.983422,0.926796,1.000000
14300,false,-613.536014,-305.173599,-167.688322,-140.674093,5.600703,8.838502,0.931871,0.000000
14400,false,-614.964879,-305.639461,-168.209643,-141.115774,5.611797,8.772227,0.277899,0.000000
14500,true,-611.745019,-302.066766,-168.624282,-141.053970,5.672576,9.016156,0.510468,0.611454
14600,false,-608.800861,-299.989989,-168.011102,-140.799770,5.683218,9.018620,0.425394,0.000000
14700,false,-602.018390,-293.723779,-166.861244,-141.433367,5.627962,9.808796,0.096585,0.000003
14800,false,-607.801265,-298.612309,-168.151845,-141.037111,5.614635,9.045324,0.098295,0.000006
14900,false,-608.459870,-300.695973,-167.100937,-140.662960,5.609984,8.719329,0.620992,0.000000
15000,false,-607.694412,-299.983940,-167.028239,-140.682232,5.620048,8.726046,0.430064,0.000000
15100,false,-607.971688,-301.443136,-166.162277,-140.366275,5.635586,8.533407,0.866578,0.013655
15200,false,-609.900438,-303.338396,-166.313163,-140.248878,5.623860,8.411241,0.339309,0.000000
15300,false,-605.370356,-298.021553,-166.494925,-140.853877,5.625717,9.054716,0.007264,0.000000
15400,true,-610.259993,-302.785400,-165.998835,-141.475759,5.604140,9.262596,0.601906,1.029861
15500,false,-608.649264,-301.015255,-166.057679,-141.576330,5.580971,8.025957,0.588320,0.000000
15600,false,-608.484806,-301.875284,-165.343791,-141.265730,5.611290,8.480821,0.114512,0.000000
15700,true,-608.561083,-301.587757,-165.706297,-141.267029,5.589180,9.080023,0.448085,1.000000
15800,false,-606.316094,-300.607938,-164.916409,-140.791747,5.573632,8.774597,0.849492,0.109070
15900,false,-607.181300,-301.919108,-165.318243,-139.943949,5.588172,8.587142,0.081097,0.000000
16000,true,-606.301989,-300.098225,-166.584545,-139.619219,5.549424,7.597701,0.001253,0.138556
16100,false,-607.305559,-301.197810,-166.425018,-139.682731,5.578334,8.608532,0.942628,0.000001
16200,false,-607.980978,-302.174263,-166.139315,-139.667400,5.606385,8.426104,0.823980,0.001617
16300,true,-603.547441,-297.586563,-165.975535,-139.985343,5.628598,9.122891,0.194624,1.000000
16400,false,-606.376950,-301.765525,-165.392828,-139.218597,5.630399,8.580360,0.660780,0.000402
16500,false,-604.285890,-302.115097,-163.902642,-138.268151,5.598836,8.104730,0.393053,0.000000
16600,false,-601.060028,-297.013867,-165.876515,-138.169647,5.670200,8.594557,0.664234,0.000000
16700,false,-601.203679,-295.784912,-166.849600,-138.569167,5.665518,8.475540,0.616662,0.000000
16800,false,-600.266849,-295.024544,-166.841576,-138.400728,5.667089,8.895354,0.708353,0.000000
16900,false,-603.461981,-298.385825,-166.589513,-138.486643,5.665889,8.094130,0.537129,0.000126
17000,false,-600.039359,-294.204820,-165.749919,-140.084621,5.635326,8.056115,0.991941,0.000000
17100,false,-602.609473,-296.216318,-165.453264,-140.939891,5.545171,8.230860,0.930637,0.011003
17200,true,-601.935679,-295.175248,-165.899750,-140.860680,5.667061,9.281556,0.833364,1.026808
17300,false,-606.008775,-298.812515,-166.114575,-141.081685,5.670070,8.846856,0.130844,0.000000
17400,false,-608.755897,-300.325062,-166.499511,-141.931324,5.607042,9.327501,0.156727,0.000000
17500,true,-605.251628,-297.858323,-165.519670,-141.873634,5.633097,9.317303,0.923258,1.000000
17600,false,-598.899184,-293.519926,-164.671897,-140.707361,5.690228,9.539783,0.169453,0.000000
17700,false,-609.309881,-302.324637,-165.118786,-141.866459,5.558832,8.715595,0.381027,0.000000
17800,false,-603.434401,-296.831164,-164.562845,-142.040392,5.562546,8.569776,0.731274,0.000000
17900,false,-605.457455,-299.125487,-164.861900,-141.470068,5.616926,9.189219,0.142129,0.000000
18000,false,-602.240386,-294.431208,-165.986314,-141.822864,5.693263,9.560222,0.914625,0.000000
18100,false,-602.942956,-294.980711,-166.356557,-141.605689,5.635330,9.544318,0.627967,0.000000
18200,false,-604.550784,-297.751952,-165.749403,-141.049428,5.665817,8.545785,0.256441,0.000000
