Cycle,Acc/Rej,Potential,BasicP,BendingP,DihedralP,Rg,Re,randomProb,boltzman
32400,false,-479.264025,-164.419114,-169.296738,-145.548173,5.832169,9.312171,0.032092,0.000000
32500,false,-478.939196,-163.665570,-169.226227,-146.047399,5.838814,9.838720,0.802692,0.000000
32600,false,-484.360654,-166.787248,-170.960012,-146.613395,5.833473,9.400783,0.149588,0.000000
32700,false,-484.527050,-167.743842,-170.143654,-146.639553,5.868701,9.233366,0.318139,0.000000
32800,false,-485.841266,-168.498899,-170.513767,-146.828600,5.798944,9.135758,0.531296,0.000000
32900,true,-479.850691,-163.249709,-170.426969,-146.174013,5.887561,9.022033,0.009230,1.418223
33000,false,-487.671652,-171.847580,-170.561026,-145.263045,5.800131,9.117371,0.250487,0.000006
33100,false,-485.696811,-171.091282,-169.356087,-145.249442,5.830959,9.233710,0.664524,0.000000
33200,false,-485.563273,-170.819481,-169.553598,-145.190194,5.832112,9.460847,0.895468,0.042383
33300,false,-482.750691,-168.490287,-169.068032,-145.192371,5.803908,8.998947,0.426950,0.014562
33400,false,-480.905571,-166.804364,-169.263087,-144.838121,5.781617,9.057080,0.307831,0.027489
33500,false,-477.119088,-165.554514,-167.775348,-143.789226,5.861146,8.548196,0.088706,0.000253
33600,false,-477.669345,-167.059226,-167.232726,-143.377393,5.846920,8.442938,0.308986,0.000000
33700,false,-478.081422,-167.526155,-166.944601,-143.610666,5.830308,8.225187,0.124431,0.000000
33800,false,-476.034424,-163.668474,-167.805657,-144.560293,5.925147,8.953637,0.914972,0.000000
33900,false,-473.295473,-160.946683,-168.280658,-144.068132,5.911185,9.699040,0.962653,0.000000
34000,false,-474.652083,-162.289939,-168.375350,-143.986794,5.890342,9.337871,0.539555,0.000043
34100,false,-472.476604,-160.664365,-168.069983,-143.742256,5.864818,9.037468,0.995531,0.000000
34200,false,-473.801945,-160.977760,-168.787799,-144.036387,5.904846,8.855971,0.685603,0.000000
34300,false,-472.315432,-162.249594,-165.752464,-144.313374,5.878284,8.889948,0.826867,0.000000
34400,true,-477.996328,-167.739120,-165.228895,-145.028313,5.864837,8.939361,0.624741,1.000000
34500,false,-478.409935,-167.622110,-165.371348,-145.416477,5.863141,8.923803,0.258406,0.000000
34600,false,-477.135458,-165.746544,-166.920229,-144.468686,5.891472,9.117564,0.565289,0.001281
34700,true,-469.485701,-159.338926,-164.803697,-145.343078,5.971698,9.429852,0.514414,1.000000
34800,false,-471.252262,-159.361906,-166.095765,-145.794591,5.943805,9.306180,0.808485,0.000000
34900,false,-476.957799,-167.491940,-165.671433,-143.794426,5.873043,9.399565,0.204535,0.000000
35000,true,-478.785948,-167.697857,-165.534828,-145.553263,5.910600,9.316916,0.392982,1.000000
35100,false,-475.193563,-163.496719,-166.637954,-145.058891,5.943268,9.061993,0.524940,0.000000
35200,true,-478.310476,-165.432412,-167.366974,-145.511090,5.939346,9.402820,0.727632,0.876320
35300,false,-479.766257,-167.178811,-166.609316,-145.978130,5.905607,8.962205,0.197741,0.004026
35400,false,-481.227018,-167.707677,-167.305953,-146.213388,5.889715,9.094412,0.712549,0.000000
35500,false,-479.595355,-166.418211,-167.304245,-145.872899,5.909496,9.246794,0.648702,0.000198
35600,true,-478.338131,-165.167482,-167.304245,-145.866403,5.895223,9.146132,0.848452,1.000000
35700,true,-473.690673,-160.807157,-167.337378,-145.546138,5.893800,9.589105,0.923218,1.000000
35800,false,-480.443743,-167.432725,-167.473141,-145.537876,5.889165,9.485087,0.834295,0.000003
35900,true,-478.794629,-165.696963,-167.476544,-145.621121,5.936020,9.640820,0.840586,1.000000
36000,false,-481.815890,-169.689645,-167.738222,-144.388022,5.872881,9.620208,0.153167,0.000000
36100,false,-485.536175,-172.267543,-168.131824,-145.136807,5.859040,9.521909,0.886550,0.000000
36200,false,-482.701237,-168.165015,-168.830349,-145.705872,5.864555,9.685033,0.146486,0.000000
36300,false,-479.287595,-164.802478,-168.237684,-146.247432,5.921645,9.274723,0.344133,0.003879
36400,false,-476.119232,-162.544018,-168.813384,-144.761831,5.907617,9.701190,0.076467,0.000000
36500,true,-474.393644,-160.262989,-168.853790,-145.276864,5.914009,9.777871,0.162741,0.210243
36600,false,-479.546689,-166.776145,-168.970559,-143.799985,5.916376,9.300153,0.676871,0.000000
36700,false,-481.686374,-166.545462,-169.064149,-146.076763,5.909618,9.185908,0.065562,0.000001
36800,false,-480.908619,-164.831562,-169.843181,-146.233876,5.930722,9.575224,0.692041,0.000406
36900,false,-477.879338,-161.934081,-170.392544,-145.552712,5.999768,9.540342,0.395232,0.000000
37000,true,-478.932973,-162.617891,-170.224563,-146.090519,5.983988,9.589750,0.904210,1.000000
37100,false,-477.819797,-162.592727,-169.007523,-146.219547,5.987402,8.946293,0.197792,0.000979
37200,false,-474.725553,-161.102040,-169.546536,-144.076976,5.941739,8.917209,0.149098,0.000069
37300,false,-476.513311,-163.300402,-169.019735,-144.193174,5.980765,9.645188,0.044925,0.000000
37400,false,-469.045479,-158.731732,-166.577400,-143.736346,5.963853,8.083349,0.819790,0.000000
37500,true,-476.650142,-166.507855,-166.821648,-143.320639,5.936645,8.451644,0.094469,1.000000
37600,true,-479.229853,-167.637970,-167.675731,-143.916151,5.877416,9.417615,0.358889,1.000000
37700,false,-479.480997,-168.055945,-167.556721,-143.868331,5.929821,9.182729,0.889214,0.000000
37800,false,-485.733036,-173.431372,-168.891603,-143.410061,5.855107,9.024587,0.238957,0.058242
37900,false,-486.483087,-173.672393,-169.236273,-143.574422,5.869415,9.425527,0.393984,0.000000
38000,true,-482.558348,-170.802133,-168.549844,-143.206371,5.926451,9.196211,0.931232,1.000000
38100,false,-480.131331,-168.612592,-168.581851,-142.936887,5.935335,9.109311,0.770996,0.000000
38200,true,-479.591655,-167.822788,-168.171436,-143.597431,5.946786,9.483906,0.362631,1.000000
38300,false,-479.333807,-167.745686,-168.277746,-143.310375,5.913402,9.007357,0.393502,0.000000
38400,true,-477.997287,-166.294515,-168.289433,-143.413339,5.932411,8.609328,0.361033,1.030347
38500,false,-478.645184,-167.095092,-167.923526,-143.626566,5.858921,9.179265,0.597707,0.002815
38600,false,-476.724816,-164.199230,-168.601621,-143.923965,5.991103,8.531253,0.588838,0.000000
38700,false,-476.209136,-163.295438,-167.424887,-145.488811,5.983419,8.368533,0.672981,0.113426
38800,false,-476.311839,-163.450362,-167.680507,-145.180970,6.012869,9.025174,0.464814,0.000000
38900,false,-477.692558,-163.351219,-167.884583,-146.456756,5.952156,8.990520,0.590337,0.000000
39000,false,-479.211117,-164.760671,-168.048294,-146.402152,5.973458,9.146183,0.574225,0.000000
39100,false,-479.542194,-167.457112,-166.249512,-145.835570,5.898542,9.355699,0.969199,0.000000
39200,false,-477.337756,-164.315474,-166.526062,-146.496220,5.953161,9.364005,0.067233,0.000000
39300,false,-481.022827,-168.218164,-166.590521,-146.214142,5.916784,9.041503,0.782455,0.009401
39400,false,-480.896697,-167.922643,-166.898235,-146.075819,5.927496,9.324288,0.545590,0.000000
39500,true,-481.189848,-167.659534,-168.044889,-145.485425,5.938505,9.277983,0.299776,0.739221
39600,true,-482.667411,-168.222314,-168.723912,-145.721185,5.933244,8.893448,0.937606,8.031691
39700,false,-483.135928,-168.690831,-168.723912,-145.721185,5.929865,8.945459,0.769236,0.309188
39800,false,-484.490036,-169.463541,-168.723912,-146.302583,5.939458,9.213534,0.861402,0.066274
39900,false,-483.656217,-168.514320,-168.890809,-146.251088,5.941631,9.491166,0.337196,0.000001
40000,true,-480.383358,-165.823885,-168.983560,-145.575913,5.975472,9.124724,0.976436,1.000000
